Name,k_wins,sb_wins,d_wins,hd_strk,lg_stk,bd_strk,st_land,st_attemp,tk_land,tk_attemp,strksL_perm,strksAb_perm,takedAv_per,subAvg_perm,strk_d,take_d,kd_rat,av_time,stand_stk,clinch_stk,grnd_stk
Donald Cerrone,10,17,8,793,413,404,1610,3347,20,93,4.20,4.06,1.29,1.41,54,72,0.90,09:34,1292,172,146
Dong Hyun Ma,7,5,3,143,32,28,203,444,6,10,3.77,4.53,1.67,0.00,53,33,0.28,10:46,154,31,18
Jim Miller,4,15,10,524,175,187,886,2195,36,87,2.78,2.88,1.69,1.88,60,47,0.14,10:17,594,154,138
Nik Lentz,11,8,10,591,142,233,966,1919,59,192,3.49,3.03,3.58,1.30,50,44,0.11,12:35,562,195,209
Gray Maynard,2,0,12,371,22,100,493,1515,50,105,1.92,2.64,2.91,0.70,67,81,0.35,12:52,320,73,100
Erik Koch,0,0,0,188,32,52,272,666,3,10,2.32,2.98,0.64,1.15,46,80,0.38,09:02,156,62,54
Charles Oliveira,6,18,2,256,85,132,473,953,26,69,3.08,3.03,2.93,2.83,54,60,0.20,06:41,276,110,87
Dustin Poirier,13,6,5,894,141,111,1146,2302,24,58,5.59,3.69,1.75,1.32,56,69,0.80,08:55,824,212,110
Edson Barboza,12,1,7,398,261,263,922,2157,7,15,4.01,4.18,0.46,0.07,60,80,0.65,10:58,866,29,27
John Makdessi,9,0,7,528,229,236,993,1951,,3,5.43,3.77,0.00,0.00,71,88,0.49,11:25,920,46,27
Tony Ferguson,3,6,4,534,168,130,832,1865,6,14,5.51,3.55,0.60,1.49,64,77,0.30,10:04,742,26,64
Khabib Nurmagomedov,8,8,10,570,32,55,657,1323,49,116,4.29,1.70,5.09,0.59,67,85,0.20,13:56,263,26,368
Al Iaquinta,7,1,6,446,79,112,637,1540,8,35,4.30,4.05,0.81,0.30,63,74,0.71,12:20,578,31,28
Francisco Trinaldo,8,5,10,410,78,185,673,1483,16,35,3.27,2.47,1.17,0.51,60,63,0.29,11:26,437,127,109
Jon Tuck,4,5,1,182,60,82,324,809,3,9,3.00,3.74,0.42,0.97,61,50,0.28,11:59,259,30,35
Drew Dober,8,5,7,294,73,101,468,1185,7,39,4.33,4.14,0.97,0.14,54,61,0.42,09:00,337,84,47
Abel Trujillo,7,2,6,195,19,59,273,662,15,33,2.65,2.31,2.18,0.44,60,40,0.44,09:23,145,63,65
Rustam Khabilov,4,5,14,246,35,46,327,960,35,96,2.10,2.20,3.94,0.10,66,61,0.10,13:00,215,30,82
Vinc Pichel,8,0,3,85,63,39,187,444,17,27,3.12,2.67,4.25,0.25,54,20,0.25,10:00,92,56,39
Yancy Medeiros,8,4,3,247,42,91,380,1071,1,3,4.10,6.05,0.16,0.65,47,74,1.46,07:07,317,33,30
Leonardo Santos,2,8,6,90,30,31,151,374,5,20,2.30,2.64,1.14,0.46,61,87,0.23,10:56,113,6,32
James Vick,3,5,5,280,61,115,456,1144,2,6,4.14,3.14,0.27,0.68,61,57,0.55,09:10,410,31,15
Alan Patrick,4,2,9,107,19,32,158,365,,,1.88,2.39,3.92,0.36,46,67,0.18,12:01,95,19,44
Mairbek Taisumov,16,8,2,105,43,34,182,435,7,9,2.88,2.02,1.66,0.00,63,88,0.95,07:55,146,13,23
Beneil Dariush,3,6,6,322,93,140,555,1141,9,48,3.91,2.68,1.59,0.85,60,80,0.42,09:28,327,112,116
Kevin Lee,2,8,7,534,17,136,687,1591,32,80,4.06,3.18,3.10,0.98,52,81,0.00,12:05,364,66,257
Olivier Aubin-Mercier,1,9,2,234,36,70,340,657,23,65,2.59,2.95,2.63,0.57,56,65,0.23,11:56,245,56,39
Alex White,5,5,2,228,25,123,376,893,5,14,3.77,2.87,1.05,0.60,63,73,0.60,11:05,252,100,24
Nick Hein,1,4,9,168,32,39,239,708,5,15,2.54,2.93,0.80,0.00,63,83,0.32,13:28,229,8,2
Alexander Yakovlev,9,8,6,68,34,36,138,296,6,20,1.89,2.73,1.23,0.00,56,73,0.41,12:10,109,16,13
Dan Hooker,9,7,2,292,66,58,416,966,3,8,4.35,5.13,0.47,0.47,54,77,0.78,08:42,351,46,19
Gilbert Burns,5,7,2,196,44,77,317,757,13,43,3.09,3.43,2.34,0.73,57,38,0.44,10:15,224,42,51
Paul Felder,10,1,4,280,118,101,499,1136,3,9,3.53,3.08,0.32,0.32,51,59,0.32,11:46,325,83,91
Gregor Gillespie,,,,141,13,13,167,310,,,3.60,1.81,7.44,0.97,59,0.,07:44,11:46,325,83,91
Stevie Ray,6,8,7,221,95,46,362,800,5,9,3.51,2.55,0.73,0.73,56,56,0.15,11:27,269,31,62
Teemu Packalen,2,6,0,34,1,7,42,73,3,11,2.64,3.08,2.83,1.89,47,10,0.94,05:18,31,0,11
Islam Makhachev,3,7,6,79,2,20,101,166,13,15,2.24,0.82,4.33,1.33,65,10,0.33,07:31,44,9,48
Magomed Mustafaev,9,4,0,37,4,15,56,102,,5,2.83,2.93,0.00,0.76,37,25,0.76,06:36,32,16,8
Andrew Holbrook,3,7,1,47,8,23,78,158,2,11,2.20,3.00,0.85,2.12,54,10,0.00,07:05,38,27,13
Scott Holtzman,4,2,6,350,57,100,507,990,18,32,4.36,3.41,2.45,0.26,54,65,0.39,14:33,279,95,133
Joaquim Silva,5,3,2,155,17,63,235,603,,2,4.04,4.50,0.26,0.77,57,64,0.26,11:39,197,23,15
Chris Gruetzemacher,7,3,4,154,69,82,305,518,,,7.12,5.09,0.00,0.00,57,63,0.00,10:43,203,79,23
Ryan Hall,,,,29,25,21,75,173,,,2.29,0.52,0.46,0.92,72,0.,10:55,10:43,203,79,23
David Teymur,4,0,4,118,100,55,273,639,4,12,4.72,3.41,1.04,0.00,56,82,0.52,11:34,247,21,5
Thibault Gouti,4,6,2,140,18,22,180,522,4,5,3.68,5.64,1.23,0.31,50,83,0.31,08:09,145,17,18
Damir Hadzovic,6,3,3,122,16,36,174,362,,4,3.42,2.97,0.59,0.29,68,32,0.59,10:11,127,16,31
Darrell Horcher,6,1,6,68,8,13,89,199,1,2,2.05,4.21,0.35,0.69,39,47,0.00,10:52,39,25,25
Lando Vannata,4,4,1,206,82,79,367,852,6,18,4.96,5.19,1.62,0.61,54,70,1.01,10:34,301,33,33
Jessin Ayari,3,8,5,118,23,20,161,422,,8,3.58,3.40,0.00,0.33,60,33,0.00,15:00,138,19,4
Jason Gonzalez,4,7,0,26,3,7,36,91,,,2.81,3.19,0.00,1.17,60,38,0.00,04:17,29,6,1
Marc Diakiese,6,1,5,111,51,72,234,629,9,33,2.89,2.55,2.23,0.00,57,63,0.37,11:33,195,30,9
Claudio Puelles,,,,25,5,15,45,117,,,2.33,6.53,2.33,0.78,50,0.,09:39,11:33,195,30,9
Devin Powell,,,,43,57,35,135,324,,,2.88,3.67,0.00,0.64,51,0.,11:43,11:33,195,30,9
Drakkar Klose,4,0,2,116,65,78,259,518,8,26,3.45,3.33,1.60,0.00,57,71,0.00,15:00,174,72,13
Davi Ramos,,,,78,9,13,100,263,,,3.12,2.72,3.28,1.40,56,0.,08:01,15:00,174,72,13
Desmond Green,5,1,15,176,43,47,266,602,5,16,3.42,2.29,1.16,0.00,71,75,0.19,12:59,225,24,17
Jared Gordon,6,2,6,248,20,24,292,542,6,22,7.48,4.41,3.46,0.00,60,75,0.00,09:45,152,28,112
Justin Gaethje,17,1,2,203,130,35,368,673,,1,8.50,10.23,0.00,0.00,54,80,0.69,08:39,299,67,2
Alex Reyes,,,,1,1,4,6,13,,,4.56,8.35,0.00,0.00,39,0.,01:19,08:39,299,67,2
Nasrat Haqparast,8,0,1,195,17,32,244,529,1,4,5.42,3.27,0.33,0.00,75,79,1.00,15:00,183,27,34
Matt Frevola,1,3,2,48,13,14,75,206,,6,4.69,6.44,1.88,0.94,57,83,0.00,08:00,67,8,0
Alexander Hernandez,4,2,4,49,4,43,96,199,4,12,3.93,4.22,2.46,0.00,50,57,0.61,08:08,48,34,14
Dan Moret,2,7,4,39,13,10,62,146,,9,2.95,3.81,0.71,0.00,46,20,0.00,10:30,35,21,6
John Gunther,,,,22,4,2,28,74,,,1.65,3.72,7.08,0.00,46,0.,08:29,10:30,35,21,6
Allan Zuniga,3,4,6,33,8,18,59,112,,,3.93,1.80,0.00,1.00,62,58,0.00,15:00,44,14,1
Michael Trizano,2,2,4,34,42,17,93,171,,2,3.10,1.73,0.50,1.00,68,87,0.00,15:00,77,9,7
Christos Giagos,6,3,2,74,4,21,99,301,1,15,2.13,1.85,1.93,0.32,55,42,0.00,09:18,55,13,31
Te Edwards,6,0,0,20,4,4,28,71,1,1,1.38,4.25,0.74,0.00,45,44,0.74,10:07,20,4,4
Don Madge,,,,14,1,6,21,31,,,4.01,0.96,0.00,2.87,67,5.,05:14,10:07,20,4,4
Devonte Smith,8,1,0,9,2,2,13,19,,,16.96,27.39,0.00,0.00,55,10,19.57,00:46,9,0,4
Thiago Moises,3,4,4,5,0,3,8,16,,2,0.53,3.80,0.00,4.00,39,50,0.00,15:00,6,1,1
Jesus Pinedo,7,4,5,53,18,26,97,255,5,5,3.23,4.37,2.50,0.00,53,10,0.00,15:00,75,7,15
Roosevelt Roberts,3,4,0,10,2,4,16,35,,,3.31,4.97,0.00,3.10,53,10,0.00,04:50,15,1,0
Alex Gorgees,0,0,0,5,2,3,10,31,,,0.67,2.27,0.00,0.00,38,55,0.00,15:00,5,5,0
Jalin Turner,7,1,0,31,1,8,40,75,,,8.42,17.89,0.00,0.00,43,10,3.16,02:23,36,1,3
Damir Ismagulov,,,,47,12,39,98,205,,,3.27,1.60,2.50,0.00,70,0.,15:00,02:23,36,1,3
Joel Alvarez,11,5,0,36,13,14,63,103,,1,4.20,1.00,0.00,1.00,57,77,0.00,15:00,36,6,21
Gilbert Melendez,11,1,10,294,20,76,390,1079,3,24,3.43,7.46,1.19,0.00,65,72,0.00,13:10,244,30,116
Frankie Edgar,6,4,11,967,222,274,1463,3640,67,198,3.59,2.22,2.47,0.37,70,66,0.11,16:59,954,126,383
Cub Swanson,11,4,10,758,240,227,1225,2453,11,44,4.16,3.28,1.17,0.51,62,60,0.31,12:16,953,124,148
Jeremy Stephens,19,2,7,671,260,196,1127,2817,27,74,3.08,2.84,1.11,0.41,59,64,0.74,12:11,822,117,188
Jose Aldo,17,1,10,679,157,133,969,2165,12,19,3.53,2.97,0.71,0.16,67,92,0.49,13:04,802,34,133
Ricardo Lamas,5,5,8,307,188,130,625,1381,13,74,2.87,2.61,1.66,1.03,60,48,0.21,10:21,396,126,103
Darren Elkins,9,4,12,592,32,167,791,2100,39,117,3.36,2.83,2.68,1.34,53,58,0.13,11:46,406,170,215
Chan Sung Jung,4,8,2,299,34,47,380,973,5,12,4.12,3.81,0.81,0.65,60,75,0.49,11:31,299,49,32
Michael Johnson,8,2,10,539,175,293,1007,2692,8,20,4.15,3.82,0.56,0.06,59,79,0.56,11:33,883,84,40
Alex Caceres,3,5,6,590,117,217,924,1884,9,12,3.84,2.76,0.56,0.81,64,59,0.19,12:02,783,83,58
Max Holloway,10,2,8,1194,95,338,1627,3530,4,6,6.90,4.03,0.32,0.45,65,83,0.51,12:25,1314,166,147
Myles Jury,10,3,4,224,66,37,327,767,16,29,2.94,2.16,2.16,0.27,67,50,0.41,09:15,214,13,100
Kurt Holobaugh,5,9,3,115,22,27,164,369,2,5,5.72,6.91,1.05,1.05,50,50,0.52,09:33,122,23,19
Andre Fili,8,3,7,379,94,84,557,1468,23,50,4.03,3.87,2.50,0.22,53,70,0.33,11:31,472,35,50
Zubaira Tukhugov,6,1,11,98,5,22,125,357,7,15,2.53,2.09,2.13,0.00,69,10,0.00,12:20,98,15,12
Mirsad Bektic,6,3,4,174,9,24,207,445,17,32,2.92,1.42,3.59,0.42,62,10,0.42,10:08,76,23,108
Chas Skelly,3,10,4,163,6,22,191,466,10,32,2.12,3.49,1.83,2.33,48,35,0.17,09:01,119,51,21
Brian Ortega,3,7,4,279,15,65,359,1064,1,18,4.07,7.36,0.51,1.36,51,56,0.51,11:01,314,28,17
Charles Rosa,3,7,1,170,74,32,276,765,14,41,3.85,4.00,2.93,1.05,51,50,0.00,14:20,247,11,18
Gabriel Benitez,7,10,4,153,57,68,278,656,1,1,4.23,2.60,0.23,1.60,73,56,0.46,09:23,248,8,22
Yair Rodriguez,4,2,5,260,120,97,477,1102,8,24,4.06,3.11,1.02,1.02,59,69,0.38,14:42,378,34,65
Renato Moicano,0,6,7,258,106,40,404,861,6,11,5.71,3.45,1.27,0.42,69,77,0.21,11:47,385,6,13
Makwan Amirkhani,1,9,4,77,1,4,82,165,12,25,1.75,1.60,3.84,1.60,60,57,0.32,09:22,38,0,44
Arnold Allen,5,4,20,113,8,31,152,451,8,14,2.19,1.83,1.73,0.65,62,69,0.43,13:52,114,9,29
Enrique Barzola,5,4,7,210,90,69,369,853,37,78,3.51,2.49,5.29,0.29,71,75,0.00,15:00,268,29,72
Kyle Bochniak,2,2,4,155,49,30,234,728,5,37,2.60,4.73,1.17,0.00,59,63,0.17,15:00,211,18,5
Josh Emmett,4,2,7,160,65,74,299,830,9,20,3.50,3.32,1.58,0.18,66,50,1.23,12:12,232,35,32
Jordan Rinaldi,1,8,5,39,31,11,81,230,2,14,1.56,2.32,1.45,1.16,59,20,0.00,10:21,68,1,12
Rick Glenn,12,3,6,246,44,98,388,915,4,29,4.31,4.29,0.67,0.33,53,67,0.17,15:00,223,66,99
Martin Bravo,5,5,2,101,9,25,135,360,3,9,6.04,5.19,2.01,0.00,50,86,0.67,07:27,119,9,7
Alexander Volkanovski,11,3,5,307,72,53,432,717,16,39,6.06,2.61,3.37,0.63,62,71,0.84,11:53,219,63,150
Shane Burgos,4,5,2,263,37,58,358,763,2,2,6.54,5.47,0.55,0.27,66,94,1.37,10:56,296,35,27
Gavin Tucker,4,4,2,39,22,17,78,245,1,5,2.60,5.07,0.50,0.50,53,43,0.00,15:00,65,11,2
Daniel Teymur,3,3,0,63,45,15,123,264,,5,3.61,4.99,0.44,0.00,56,57,0.00,11:22,88,19,16
Danny Henry,5,5,2,73,7,19,99,186,1,3,5.85,4.84,0.89,2.66,45,67,1.77,05:39,55,6,38
Calvin Kattar,7,3,8,186,20,19,225,542,2,6,5.03,6.66,0.67,0.00,55,75,0.67,11:11,203,2,20
Humberto Bandenay,5,6,3,16,10,11,37,94,,3,2.30,5.22,1.87,0.93,39,71,0.93,05:22,29,6,2
Zabit Magomedsharipov,6,7,38,206,42,36,284,534,23,44,4.53,2.44,6.23,0.96,66,78,0.00,12:32,213,15,56
Shane Young,6,4,2,85,12,25,122,296,2,6,4.95,5.07,1.22,0.00,53,64,0.00,12:20,104,18,0
Sheymon Moraes,5,0,6,81,14,82,177,423,,4,2.97,3.51,0.00,0.00,63,54,0.50,14:53,139,30,8
Julio Arce,3,5,6,113,6,41,160,498,,6,3.73,2.89,0.35,1.05,68,94,0.00,14:18,136,18,6
Dan Ige,3,4,3,93,17,16,126,264,2,22,3.92,4.76,2.80,0.47,60,60,0.47,08:02,59,8,59
Austin Arnett,7,5,4,94,1,34,129,274,1,11,3.32,8.22,0.77,0.00,63,40,0.00,12:56,93,18,18
Steven Peterson,5,7,5,114,27,40,181,546,3,24,4.02,6.67,2.33,0.67,57,86,0.00,15:00,138,29,14
Hakeem Dawodu,6,0,2,80,58,43,181,385,,1,5.91,2.19,0.00,0.00,63,88,0.00,10:13,172,9,0
Tyler Diamond,5,1,3,34,5,12,51,107,3,4,3.40,2.53,3.00,0.00,45,70,0.00,15:00,20,1,30
Bryce Mitchell,0,8,2,36,3,16,55,113,3,13,1.83,2.00,1.50,1.50,60,33,0.00,15:00,29,8,18
Luis Pena,1,4,13,63,2,18,83,220,1,13,2.48,2.74,1.34,0.45,53,46,0.45,11:11,64,14,5
Nad Narimani,2,5,5,116,20,15,151,350,6,17,3.80,2.80,2.64,0.00,61,75,0.00,13:14,91,17,43
Matt Sayles,0,0,0,39,15,23,77,235,,3,5.13,5.07,0.00,0.00,59,10,0.00,15:00,67,10,0
Kyle Nelson,4,4,4,12,2,6,20,50,,,3.13,8.46,0.00,0.00,47,50,0.00,06:23,19,1,0
Chris Fishgold,,,,27,5,2,34,107,,,3.29,3.96,8.70,2.90,49,0.,05:11,06:23,19,1,0
Bobby Moffett,1,9,4,18,9,2,29,98,1,9,1.28,2.42,3.96,1.98,53,80,0.00,11:22,26,2,1
Julian Erosa,10,9,3,73,10,47,130,244,3,4,3.58,5.50,1.24,1.24,49,61,0.00,09:05,84,32,14
Sodiq Yusuff,5,0,3,50,17,29,96,191,,3,5.57,7.89,0.00,0.00,52,10,0.87,08:37,68,19,9
Jordan Griffin,5,8,4,49,0,7,56,107,,2,3.73,4.73,0.00,1.00,47,57,0.00,15:00,31,4,21
Kron Gracie,,,,1,1,0,2,10,,,0.95,1.90,7.14,7.14,71,0.,02:06,15:00,31,4,21
Grant Dawson,3,9,0,48,7,2,57,128,,11,3.80,3.47,6.00,1.00,43,50,0.00,15:00,28,5,24
Mike Grundy,0,8,3,32,0,1,33,56,,3,3.40,2.27,1.55,0.00,77,10,1.55,09:42,20,9,4
Eddie Wineland,0,0,0,496,48,111,655,2339,2,12,3.21,3.41,0.29,0.15,71,86,0.81,10:45,561,39,55
Rani Yahya,0,20,6,176,71,65,312,807,34,126,1.48,1.46,3.13,2.27,50,23,0.00,09:35,207,27,78
Dominick Cruz,0,0,0,596,114,158,868,2733,23,104,3.53,2.15,3.17,0.06,75,83,0.06,17:35,709,79,80
Bryan Caraway,2,16,3,288,29,36,353,1033,19,93,2.55,3.66,2.49,0.65,54,81,0.00,11:32,303,38,12
Raphael Assuncao,4,10,13,439,237,122,798,1973,13,61,3.34,2.24,1.38,0.31,70,80,0.19,12:34,640,81,77
Renan Barao,8,15,13,523,163,208,894,2434,19,51,3.78,3.83,1.46,0.57,58,91,0.25,13:09,731,116,47
Iuri Alcantara,0,0,0,316,37,130,483,1057,17,27,2.72,2.79,1.44,0.84,49,60,0.42,09:21,303,45,135
Johnny  Eduardo,10,11,7,95,63,15,173,455,,4,2.89,3.34,0.00,0.50,64,63,0.50,08:34,156,7,10
John Dodson,10,2,9,372,95,209,676,1664,9,38,3.28,3.55,0.80,0.00,62,81,0.73,13:45,574,79,23
TJ Dillashaw,8,3,5,686,168,151,1005,2438,21,56,5.37,3.03,1.68,0.96,66,86,0.72,11:41,714,105,186
John Lineker,14,4,13,505,78,321,904,2258,6,10,5.22,3.95,0.52,0.61,56,69,1.04,11:33,728,77,99
Mitch Gagnon,1,10,1,127,23,50,200,409,6,23,3.18,2.13,1.43,1.91,63,68,0.48,08:59,117,46,37
Kyung Ho Kang,2,10,2,140,32,16,188,441,,18,2.39,1.97,2.29,1.33,59,75,0.00,13:08,99,5,84
Sergio Pettis,3,3,11,569,77,77,723,1935,11,30,3.68,2.93,0.92,0.38,64,68,0.08,15:06,640,37,46
Davey Grant,1,7,1,74,20,36,130,243,3,10,3.60,1.41,1.25,0.00,68,65,0.00,09:01,70,34,26
Teruto Ishihara,8,0,3,167,76,52,295,660,3,18,3.26,3.63,0.50,0.00,54,31,1.33,10:04,235,24,36
Douglas Silva de Andrade,19,1,5,170,67,54,291,788,4,8,3.77,4.54,0.78,0.00,58,60,0.39,12:52,273,13,5
Aljamain Sterling,2,7,47,280,128,219,627,1232,21,64,4.18,1.45,2.10,0.90,69,52,0.00,12:31,353,133,141
Pedro Munhoz,5,8,5,288,121,89,498,1153,7,33,5.03,5.35,1.06,1.21,59,77,0.76,08:15,416,41,41
Patrick Williams,4,3,1,43,43,28,114,221,5,12,4.12,4.12,2.71,0.54,52,10,0.54,06:56,87,26,1
Louis Smolka,6,7,2,380,35,102,517,1130,13,43,3.92,3.37,1.71,2.16,52,31,0.11,11:00,262,59,196
Rob Font,7,4,4,282,36,84,402,993,5,21,4.94,3.88,1.29,0.92,63,30,0.92,09:02,331,41,30
Frankie Saenz,3,2,8,226,123,121,470,1001,14,43,3.97,3.15,1.77,0.13,54,63,0.25,13:09,257,165,48
Thomas Almeida,17,3,1,219,67,60,346,758,,,5.66,4.65,0.00,0.00,65,76,0.74,07:38,309,37,0
Henry Briones,10,6,3,99,16,63,178,417,,1,3.47,4.68,0.00,0.58,53,52,0.29,10:16,150,20,8
Guido Cannetti,3,3,2,63,22,50,135,258,7,18,2.80,1.95,2.80,0.31,51,75,0.00,09:38,63,45,27
Alejandro Perez,10,5,7,251,110,42,403,1129,3,20,3.58,2.92,0.53,0.13,65,73,0.00,11:16,314,24,65
Marlon Vera,4,7,2,200,89,94,383,845,,16,3.30,3.92,0.77,1.29,52,69,0.65,10:34,271,50,62
Cody Garbrandt,9,0,2,231,24,26,281,759,5,15,3.53,3.53,0.94,0.00,65,10,1.70,08:50,253,9,19
Jimmie Rivera,4,2,16,192,92,82,366,894,5,18,3.98,3.90,0.81,0.00,60,10,0.49,11:30,328,33,5
Luke Sanders,7,1,4,202,13,28,243,468,1,4,6.00,4.05,0.37,0.37,54,70,1.11,06:45,140,21,82
Matthew Lopez,5,3,2,141,23,48,212,416,11,25,3.13,3.73,3.32,1.33,55,71,0.00,11:18,150,7,55
Brett Johns,2,5,8,182,5,19,206,450,15,31,3.41,4.74,3.72,0.50,55,79,0.00,12:06,129,18,59
Kwan Ho Kwak,6,0,3,40,11,12,63,152,1,1,3.29,3.45,0.78,0.00,48,27,0.00,09:35,54,9,0
Matt Schnell,2,6,4,95,44,14,153,436,1,5,3.69,3.69,0.72,1.45,63,55,0.00,08:18,136,17,0
Ricardo Ramos,3,6,3,97,21,23,141,328,4,8,3.36,3.31,1.43,0.71,59,73,0.71,13:59,107,15,19
Aiemann Zahabi,4,2,1,77,2,11,90,217,,1,3.34,3.93,0.00,0.00,63,72,0.56,13:29,80,7,3
Andre Soukhamthath,8,3,2,103,33,77,213,470,4,11,3.22,3.89,1.59,0.23,54,75,1.36,13:13,132,52,29
Tom Duquesnoy,8,4,3,66,40,30,136,300,1,4,3.83,5.30,0.42,0.00,63,47,0.85,11:49,115,20,1
Brian Kelleher,7,8,4,173,37,31,241,528,4,15,5.01,5.98,1.25,0.62,54,85,0.31,08:01,195,22,24
Marlon Moraes,10,5,6,56,27,30,113,327,1,4,3.23,2.60,0.43,0.86,66,60,1.72,06:59,103,0,10
Cody Stamann,6,2,9,197,39,79,315,658,15,29,4.59,3.29,3.28,0.00,63,86,0.00,13:44,220,54,41
Bharat Kandare,,,,1,2,0,3,30,,,0.70,1.88,0.00,0.00,72,0.,04:16,13:44,220,54,41
Cory Sandhagen,,,,121,17,25,163,314,,,8.89,2.73,1.64,1.64,65,1.,06:07,13:44,220,54,41
Wuliji Buren,2,4,4,35,13,17,65,152,6,21,1.63,2.96,3.38,0.38,57,71,0.00,13:18,45,9,11
Merab Dvalishvili,2,1,5,127,20,23,170,493,17,53,3.78,2.22,7.33,0.00,59,80,0.33,15:00,86,31,53
Benito Lopez,3,2,4,58,12,15,85,199,,,4.68,9.20,0.00,0.83,60,79,0.83,09:05,76,9,0
Alex Perez,4,6,11,137,46,28,211,426,7,21,4.69,3.31,3.33,1.00,61,88,0.33,09:00,132,34,45
Mark De La Rosa,1,6,27,73,25,21,119,299,2,10,2.72,3.34,0.69,0.34,53,50,0.00,10:55,86,18,15
Brandon Davis,3,2,4,128,52,28,208,553,1,3,3.87,5.58,0.28,0.00,64,57,0.00,13:27,195,13,0
Manny Bermudez,,,,18,0,4,22,43,,,1.88,2.57,2.57,7.70,58,1.,03:54,13:27,195,13,0
Ricky Simon,5,2,7,72,16,25,113,293,9,32,2.51,4.13,4.33,0.33,70,74,0.67,15:00,84,12,17
Nathaniel Wood,9,5,2,66,35,23,124,292,,6,4.24,2.94,2.05,2.05,58,80,0.51,09:45,88,7,29
Brad Katona,1,3,5,82,45,20,147,269,2,10,4.90,2.77,1.00,0.00,60,43,0.00,15:00,117,4,26
Raoni Barcelos,7,2,4,109,3,5,117,209,3,6,5.66,6.19,3.63,0.73,54,75,0.73,10:21,70,8,39
Petr Yan,5,1,5,215,10,56,281,545,,10,6.46,2.92,1.73,0.35,69,83,0.69,10:52,195,44,42
Said Nurmagomedov,2,3,6,46,17,19,82,137,1,11,4.69,1.95,0.86,0.00,64,10,0.86,08:44,57,19,6
Pingyuan Liu,3,4,3,62,8,17,87,210,1,5,2.90,4.13,0.50,2.00,47,56,0.50,15:00,65,9,13
Khalid Taha,8,2,2,24,5,3,32,57,,,2.13,3.00,0.00,0.00,35,45,0.00,15:00,21,7,4
Montel Jackson,5,1,1,33,4,15,52,110,2,2,3.12,3.12,1.80,0.90,59,68,0.00,08:20,30,17,5
Jin Soo Son,0,0,0,51,3,4,58,220,1,7,3.87,6.67,1.00,0.00,57,10,0.00,15:00,47,7,4
Andre Ewell,7,4,3,51,1,16,68,181,1,1,2.33,3.60,0.51,0.00,51,38,0.51,14:36,65,2,1
Jonathan Martinez,,,,36,8,27,71,111,,,4.73,5.27,1.00,0.00,43,0.,15:00,14:36,65,2,1
Martin Day,3,2,3,54,8,38,100,184,1,1,6.67,6.40,1.00,2.00,59,86,1.00,15:00,82,4,14
Chris Gutierrez,6,1,5,24,50,21,95,173,,1,3.93,2.07,0.00,0.00,64,60,0.00,12:06,92,0,3
Mario Bautista,0,0,0,4,2,3,9,30,1,1,2.56,4.83,4.27,0.00,69,50,0.00,03:31,9,0,0
Ryan MacDonald,,,,4,10,1,15,75,,,1.00,4.60,0.00,0.00,43,0.,15:00,03:31,9,0,0
Casey  Kenney,2,4,5,9,4,19,32,52,2,3,2.13,9.33,2.00,0.00,56,61,0.00,15:00,9,19,4
Joseph Benavidez,7,9,10,538,200,251,989,2969,16,97,3.40,2.58,1.49,0.62,63,66,0.36,12:08,782,119,88
Tim Elliott,3,6,6,294,54,84,432,941,36,55,3.41,2.30,4.26,1.42,63,50,0.12,12:40,246,75,111
Jussier Formiga,0,10,17,148,25,36,209,528,15,50,1.37,2.05,1.97,0.59,66,86,0.20,11:42,140,29,40
Ryan Benoit,8,1,1,117,11,18,146,403,1,5,2.38,3.20,0.24,0.24,60,63,0.98,10:13,116,12,18
Wilson Reis,0,10,13,152,83,35,270,911,43,115,1.86,2.95,5.15,0.62,57,47,0.00,12:08,181,37,52
Henry Cejudo,5,0,7,239,37,164,440,1014,19,53,3.56,2.60,2.30,0.12,67,89,0.48,12:23,265,110,65
Alexandre Pantoja,6,8,6,158,44,56,258,550,3,6,4.31,3.38,0.75,1.76,60,61,0.25,11:58,203,42,13
Eric Shelton,2,5,5,183,17,31,231,543,10,33,2.57,1.88,2.83,0.17,64,46,0.00,15:00,133,3,95
Deiveson Figueiredo,8,5,2,70,2,38,110,225,7,15,1.91,1.65,1.82,2.86,53,47,1.04,11:32,46,12,52
Ashkan Mokhtarian,6,6,1,22,19,13,54,124,1,6,1.95,3.66,0.54,0.00,44,33,0.00,13:49,51,1,2
Joseph Morales,2,5,2,31,4,10,45,121,,2,1.58,1.72,0.53,2.63,61,23,0.53,09:30,24,2,19
Rogerio Bontorin,2,11,1,27,2,11,40,77,1,3,2.67,6.47,1.00,2.00,39,60,0.00,15:00,33,6,1
Jordan Espinosa,2,7,4,19,18,10,47,105,,3,3.13,6.73,1.00,0.00,55,10,0.00,15:00,46,1,0
Cat Zingano,5,3,2,107,28,46,181,295,13,20,2.57,1.63,2.77,0.85,47,43,0.00,10:04,66,44,71
Amanda Nunes,12,3,2,253,102,62,417,808,11,26,4.65,3.21,1.84,0.67,57,80,0.67,08:10,296,22,99
Holly Holm,8,0,4,216,109,128,453,1327,6,19,2.82,2.80,0.56,0.09,58,78,0.19,17:51,376,53,24
Cris Cyborg,17,0,3,201,44,93,338,591,3,5,6.76,3.42,0.90,0.00,69,91,0.60,08:20,216,67,55
